지점명,위도,경도,주소,우편번호
노브랜드 시흥목감점,37.373650,126.854763,경기 시흥시 목감둘레로 59-19,14988
노브랜드 시흥아울렛점,37.3794378,126.7356392,"경기 시흥시 서해안로 699 (정왕동, 시흥 프리미엄 아울렛)",15010
노브랜드 시흥정왕점,37.363749,126.729566,경기 시흥시 함송로 16 (정왕동),15020
노브랜드 아산둔포점,36.92674655322696,127.05252702603917,"충남 아산시 둔포면 아산밸리북로 48 (석곡리, 아산테크노밸리 이지더원 5단지아파트)",31406
노브랜드 아산배방점,36.774015,127.071969,"충남 아산시 배방읍 북수로 101 (북수리, 뺑드메르)",31491
노브랜드 안동구시장점,36.56542745875069,128.7289969889884,경북 안동시 번영4길 15 (서부동),36695
노브랜드 안동옥동점,36.56410094537085,128.70221852907636,경북 안동시 경북대로 382 (옥동),36657
노브랜드 안산고잔점,37.3096970717998,126.82786572757347,경기 안산시 단원구 광덕2로 156,15476
노브랜드 안산이동점,37.30619864840879,126.8499235769607,경기 안산시 상록구 중보로 23 (이동),15495
노브랜드 안성공도점,37.0034709,127.17439,경기 안성시 공도읍 공도로 159 (만정리),17560
노브랜드 안성시장점,37.0065988,127.2698538,경기 안성시 시장길 37 (서인동),17592
노브랜드 안양평촌점,37.3946685,126.9748484,경기 안양시 동안구 흥안대로 451 (평촌동),14058
노브랜드 양산물금점,35.327088,129.016395,경남 양산시 물금읍 청운로 350 (범어리),50611
노브랜드 양주덕정점,37.8400354,127.0641498,경기 양주시 화합로1402번길 9 (덕정동),11451
노브랜드 양주옥정점,37.820087,127.094178,경기 양주시 옥정동로7가길 44 (옥정동),11473
노브랜드 양주회정점,37.8287864920362,127.05310765334,경기 양주시 평화로 1563 (회정동),11439
노브랜드 여주한글시장점,37.297466,127.634982,"경기 여주시 세종로14번길 18 (창동, 여주중앙프라자)",12622
노브랜드 영등포양평점,37.538355,126.892690,서울 영등포구 양평로 135 (양평동5가),07207
노브랜드 영등포여의도점,37.5263456,126.9153253,"서울 영등포구 의사당대로 8 (여의도동, 삼환까뮤빌딩)",07236
노브랜드 영주가흥점,36.8176849896543,128.604984784084,경북 영주시 대학로 248,36136
노브랜드 오산갈곶동점,37.131715742377935,127.06823028331142,경기 오산시 오산로 51 (갈곶동),18147
노브랜드 오산금암점,37.1811026,127.0431213,경기 오산시 문헌공로 9,18108
노브랜드 오산수청점,37.170912,127.065613,경기 오산시 오산대역로 214,18114
노브랜드 용인구갈점,37.27984282100609,127.11326003039123,경기 용인시 기흥구 구갈로60번길 17,16972
노브랜드 용인동천점,37.3374291,127.0911666,경기 용인시 수지구 동천로113번길 5 (동천동),16823
노브랜드 용인보라점,37.2553481,127.1187708,경기 용인시 기흥구 사은로 130 (보라동),17079
노브랜드 용인삼가점,37.23888309197963,127.17424511246875,경기 용인시 처인구 중부대로 1162 (삼가동),17091
노브랜드 용인상현점,37.3005336,127.0738315,경기 용인시 수지구 법조로 242 (상현동),16942
노브랜드 용인신봉점,37.3274953,127.06590,경기도 용인시 수지구 신봉3로7번길 3,448837
노브랜드 용인죽전점,37.331337,127.1192705,경기 용인시 수지구 현암로 92,16880
노브랜드 용인청덕점,37.2933849,127.08423,"경기 용인시 기흥구 구성로 357 (청덕동, 용인테크노밸리)",16914
노브랜드 울산달동점,35.632535,129.348510,울산 남구 왕생로 58 (달동),44707
노브랜드 울산무거점,35.54697990525579,129.26148698875062,울산 남구 대학로 137,44607
노브랜드 울산방어점,35.48770156053753,129.4156807583675,울산 동구 문현로 1 (방어동),44094
노브랜드 울산범서점,35.571474056939365,129.24242514431342,울산 울주군 범서읍 구영로 126 (구영리),44923
